date,total_steps,source,device_name,device_manufacturer,creation_time
2019-02-26,7121,Apple Health App,iPhone,Apple,21:17:04
2019-02-27,5310,Apple Health App,iPhone,Apple,21:17:04
2019-02-28,4409,Apple Health App,iPhone,Apple,21:17:04
2019-03-01,5404,Apple Health App,iPhone,Apple,21:17:04
2019-03-02,72,Apple Health App,iPhone,Apple,21:17:04
2019-03-03,94,Apple Health App,iPhone,Apple,21:17:04
2019-03-04,7315,Apple Health App,iPhone,Apple,21:17:04
2019-03-05,3343,Apple Health App,iPhone,Apple,21:17:04
2019-03-06,5272,Apple Health App,iPhone,Apple,21:17:04
2019-03-07,7536,Apple Health App,iPhone,Apple,21:17:04
2019-03-08,5130,Apple Health App,iPhone,Apple,21:17:04
2019-03-09,1312,Apple Health App,iPhone,Apple,21:17:04
2019-03-10,288,Apple Health App,iPhone,Apple,21:17:04
2019-03-11,76,Apple Health App,iPhone,Apple,21:17:04
2019-03-12,91,Apple Health App,iPhone,Apple,21:17:04
2019-03-13,1020,Apple Health App,iPhone,Apple,21:17:04
2019-03-14,132,Apple Health App,iPhone,Apple,21:17:04
2019-03-15,1277,Apple Health App,iPhone,Apple,21:17:04
2019-03-16,109,Apple Health App,iPhone,Apple,21:17:04
2019-03-17,2812,Apple Health App,iPhone,Apple,21:17:04
2019-03-18,7400,Apple Health App,iPhone,Apple,21:17:04
2019-03-19,6110,Apple Health App,iPhone,Apple,21:17:04
2019-03-20,7387,Apple Health App,iPhone,Apple,21:17:04
2019-03-21,6496,Apple Health App,iPhone,Apple,21:17:04
2019-03-22,5353,Apple Health App,iPhone,Apple,21:17:04
2019-03-23,1865,Apple Health App,iPhone,Apple,21:17:04
2019-03-24,71,Apple Health App,iPhone,Apple,21:17:04
2019-03-25,7706,Apple Health App,iPhone,Apple,21:17:04
2019-03-26,6506,Apple Health App,iPhone,Apple,21:17:04
2019-03-27,143,Apple Health App,iPhone,Apple,21:17:04
2019-03-28,6935,Apple Health App,iPhone,Apple,21:17:04
2019-03-29,7584,Apple Health App,iPhone,Apple,21:17:04
2019-03-30,85,Apple Health App,iPhone,Apple,21:17:04
2019-03-31,1207,Apple Health App,iPhone,Apple,21:17:04
2019-04-01,4580,Apple Health App,iPhone,Apple,21:17:04
2019-04-02,6433,Apple Health App,iPhone,Apple,21:17:04
2019-04-03,7013,Apple Health App,iPhone,Apple,21:17:04
2019-04-04,6990,Apple Health App,iPhone,Apple,21:17:04
2019-04-05,4160,Apple Health App,iPhone,Apple,21:17:04
2019-04-06,1519,Apple Health App,iPhone,Apple,17:44:23
2019-04-07,151,Apple Health App,iPhone,Apple,17:44:23
2019-04-08,4065,Apple Health App,iPhone,Apple,17:44:23
2019-04-09,3891,Apple Health App,iPhone,Apple,17:44:23
2019-04-10,7736,Apple Health App,iPhone,Apple,17:44:23
2019-04-11,6503,Apple Health App,iPhone,Apple,17:44:23
2019-04-12,6907,Apple Health App,iPhone,Apple,17:44:23
2019-04-13,185,Apple Health App,iPhone,Apple,17:44:23
2019-04-14,120,Apple Health App,iPhone,Apple,17:44:23
2019-04-15,4550,Apple Health App,iPhone,Apple,17:44:23
2019-04-16,7392,Apple Health App,iPhone,Apple,17:44:23
2019-04-17,8097,Apple Health App,iPhone,Apple,17:44:23
2019-04-18,5119,Apple Health App,iPhone,Apple,17:44:23
2019-04-19,2836,Apple Health App,iPhone,Apple,17:44:23
2019-04-20,143,Apple Health App,iPhone,Apple,17:44:23
2019-04-21,43,Apple Health App,iPhone,Apple,17:44:23
2019-04-22,4074,Apple Health App,iPhone,Apple,17:44:23
2019-04-23,3780,Apple Health App,iPhone,Apple,17:44:23
2019-04-24,7693,Apple Health App,iPhone,Apple,17:44:23
2019-04-25,4384,Apple Health App,iPhone,Apple,17:44:23
2019-04-26,7368,Apple Health App,iPhone,Apple,17:44:23
2019-04-27,999,Apple Health App,iPhone,Apple,17:44:23
2019-04-28,1153,Apple Health App,iPhone,Apple,17:44:23
2019-04-29,4373,Apple Health App,iPhone,Apple,17:44:23
2019-04-30,4449,Apple Health App,iPhone,Apple,17:44:23
2019-05-01,7180,Apple Health App,iPhone,Apple,17:44:23
2019-05-02,8066,Apple Health App,iPhone,Apple,17:44:23
2019-05-03,7084,Apple Health App,iPhone,Apple,17:44:23
2019-05-04,2860,Apple Health App,iPhone,Apple,17:44:23
2019-05-05,207,Apple Health App,iPhone,Apple,17:44:23
2019-05-06,8103,Apple Health App,iPhone,Apple,17:44:23
2019-05-07,4733,Apple Health App,iPhone,Apple,17:44:23
2019-05-08,9017,Apple Health App,iPhone,Apple,17:44:23
2019-05-09,7786,Apple Health App,iPhone,Apple,17:44:23
2019-05-10,6806,Apple Health App,iPhone,Apple,17:44:23
2019-05-11,71,Apple Health App,iPhone,Apple,17:44:23
2019-05-12,68,Apple Health App,iPhone,Apple,17:44:23
2019-05-13,3752,Apple Health App,iPhone,Apple,17:44:23
2019-05-14,8469,Apple Health App,iPhone,Apple,17:44:23
2019-05-15,5294,Apple Health App,iPhone,Apple,17:44:23
2019-05-16,7503,Apple Health App,iPhone,Apple,17:44:23
2019-05-17,7857,Apple Health App,iPhone,Apple,17:44:23
2019-05-18,201,Apple Health App,iPhone,Apple,17:44:23
2019-05-19,1417,Apple Health App,iPhone,Apple,17:44:23
2019-05-20,1066,Apple Health App,iPhone,Apple,17:44:23
2019-05-21,5186,Apple Health App,iPhone,Apple,17:44:23
2019-05-22,6911,Apple Health App,iPhone,Apple,17:44:23
2019-05-23,7618,Apple Health App,iPhone,Apple,17:44:23
2019-05-24,1919,Apple Health App,iPhone,Apple,17:44:23
2019-05-25,685,Apple Health App,iPhone,Apple,17:44:23
2019-05-26,129,Apple Health App,iPhone,Apple,17:44:23
2019-05-27,7775,Apple Health App,iPhone,Apple,17:44:23
2019-05-28,5233,Apple Health App,iPhone,Apple,17:44:23
2019-05-29,1334,Apple Health App,iPhone,Apple,17:44:23
2019-05-30,7434,Apple Health App,iPhone,Apple,17:44:23
2019-05-31,8256,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-01,1158,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-02,129,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-03,8928,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-04,6556,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-05,6808,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-06,7629,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-07,7436,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-08,1086,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-09,416,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-10,7521,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-11,8144,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-12,7648,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-13,6243,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-14,6825,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-15,231,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-16,338,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-17,6404,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-18,310,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-19,259,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-20,2398,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-21,3497,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-22,378,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-23,192,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-24,255,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-25,3007,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-26,204,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-27,89,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-28,1423,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-29,263,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-06-30,40,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-01,285,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-02,6632,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-03,2652,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-04,3127,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-05,4882,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-06,2282,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-07,1028,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-08,7137,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-09,6644,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-10,5729,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-11,6712,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-12,7015,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-13,3214,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-14,302,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-15,2210,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-16,6342,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-17,4453,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-18,6852,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-19,6908,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-20,528,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-21,371,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-22,3059,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-23,6315,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-24,6305,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-25,5951,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-26,2080,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-27,77,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-28,594,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-29,487,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-30,4746,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-07-31,8880,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-08-01,4162,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-08-02,1601,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-08-03,2155,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-08-04,507,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-08-05,628,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-08-06,6374,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-08-07,6743,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-08-08,4464,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-08-09,12649,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-08-10,2045,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-08-11,3296,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-08-12,498,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-08-13,164,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-08-14,3256,Apple Health App,iPhone,Apple Inc.,12:54:58
2019-08-15,863,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-08-16,140,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-08-17,748,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-08-18,229,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-08-19,4743,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-08-20,1957,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-08-21,990,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-08-22,857,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-08-23,354,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-08-24,4766,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-08-25,329,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-08-26,2121,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-08-27,4733,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-08-28,4627,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-08-29,4928,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-08-30,2410,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-08-31,2381,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-09-01,171,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-09-02,1022,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-09-03,3492,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-09-04,4046,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-09-05,6377,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-09-06,6489,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-09-07,1341,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-09-08,437,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-09-09,2767,Apple Health App,iPhone,Apple Inc.,08:15:21
2019-09-10,5817,Apple Health App,iPhone,Apple Inc.,12:44:33
2019-09-11,2960,Apple Health App,iPhone,Apple Inc.,12:44:33
2019-09-12,7681,Apple Health App,iPhone,Apple Inc.,12:44:33
2019-09-13,6287,Apple Health App,iPhone,Apple Inc.,12:44:33
2019-09-14,3993,Apple Health App,iPhone,Apple Inc.,12:44:33
2019-09-15,793,Apple Health App,iPhone,Apple Inc.,12:44:33
2019-09-16,7082,Apple Health App,iPhone,Apple Inc.,12:44:33
2019-09-17,3106,Apple Health App,iPhone,Apple Inc.,12:44:33
2019-09-18,6185,Apple Health App,iPhone,Apple Inc.,12:44:33
2019-09-19,3737,Apple Health App,iPhone,Apple Inc.,12:44:33
2019-09-20,8209,Apple Health App,iPhone,Apple Inc.,12:44:33
2019-09-21,470,Apple Health App,iPhone,Apple Inc.,12:44:33
2019-09-22,499,Apple Health App,iPhone,Apple Inc.,02:13:25
2019-09-23,4376,Apple Health App,iPhone,Apple Inc.,02:13:25
2019-09-24,7036,Apple Health App,iPhone,Apple Inc.,02:13:25
2019-09-25,2613,Apple Health App,iPhone,Apple Inc.,02:13:25
2019-09-26,8923,Apple Health App,iPhone,Apple Inc.,02:13:25
2019-09-27,5607,Apple Health App,iPhone,Apple Inc.,12:51:22
2019-09-28,666,Apple Health App,iPhone,Apple Inc.,12:51:22
2019-09-29,2191,Apple Health App,iPhone,Apple Inc.,12:51:22
2019-09-30,6250,Apple Health App,iPhone,Apple Inc.,12:51:22
2019-10-01,3010,Apple Health App,iPhone,Apple Inc.,12:51:22
2019-10-02,4144,Apple Health App,iPhone,Apple Inc.,12:51:22
2019-10-03,6110,Apple Health App,iPhone,Apple Inc.,13:27:30
2019-10-04,190,Apple Health App,iPhone,Apple Inc.,13:27:30
2019-10-05,2969,Apple Health App,iPhone,Apple Inc.,13:27:30
2019-10-06,197,Apple Health App,iPhone,Apple Inc.,13:27:30
2019-10-07,4923,Apple Health App,iPhone,Apple Inc.,13:27:30
2019-10-08,8177,Apple Health App,iPhone,Apple Inc.,13:27:30
2019-10-09,6174,Apple Health App,iPhone,Apple Inc.,13:27:30
2019-10-10,7574,Apple Health App,iPhone,Apple Inc.,13:27:30
2019-10-11,1498,Apple Health App,iPhone,Apple Inc.,13:27:30
2019-10-12,2567,Apple Health App,iPhone,Apple Inc.,13:27:30
2019-10-13,3956,Apple Health App,iPhone,Apple Inc.,13:27:30
2019-10-14,421,Apple Health App,iPhone,Apple Inc.,13:27:30
2019-10-15,7110,Apple Health App,iPhone,Apple Inc.,13:27:30
2019-10-16,5911,Apple Health App,iPhone,Apple Inc.,13:27:30
2019-10-17,7157,Apple Health App,iPhone,Apple Inc.,13:27:30
2019-10-18,6863,Apple Health App,iPhone,Apple Inc.,13:27:30
2019-10-19,4106,Apple Health App,iPhone,Apple Inc.,13:27:30
2019-10-20,333,Apple Health App,iPhone,Apple Inc.,13:27:30
2019-10-21,6775,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-10-22,6398,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-10-23,8184,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-10-24,6904,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-10-25,8316,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-10-26,978,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-10-27,283,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-10-28,6578,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-10-29,7096,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-10-30,10367,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-10-31,6129,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-01,5562,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-02,1469,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-03,2349,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-04,11167,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-05,7266,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-06,6324,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-07,6712,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-08,7542,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-09,2785,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-10,4055,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-11,5267,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-12,8307,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-13,4476,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-14,3736,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-15,1757,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-16,2759,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-17,236,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-18,10523,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-19,3566,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-20,7741,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-21,7032,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-22,8495,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-23,1242,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-24,995,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-25,7229,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-26,8417,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-27,6288,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-28,6061,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-29,5261,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-11-30,141,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-01,1053,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-02,6975,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-03,8903,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-04,2783,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-05,10398,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-06,1997,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-07,1214,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-08,446,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-09,7688,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-10,6758,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-11,80,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-12,8277,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-13,8681,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-14,1904,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-15,351,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-16,3592,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-17,6405,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-18,6492,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-19,14126,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-20,4300,Apple Health App,iPhone,Apple Inc.,16:27:20
2019-12-21,388,Apple Health App,iPhone,Apple Inc.,13:37:49
2019-12-22,982,Apple Health App,iPhone,Apple Inc.,13:37:49
2019-12-23,694,Apple Health App,iPhone,Apple Inc.,13:37:49
2019-12-24,2322,Apple Health App,iPhone,Apple Inc.,13:37:49
2019-12-25,7033,Apple Health App,iPhone,Apple Inc.,13:37:49
2019-12-26,2147,Apple Health App,iPhone,Apple Inc.,13:37:49
2019-12-27,531,Apple Health App,iPhone,Apple Inc.,13:37:49
2019-12-28,205,Apple Health App,iPhone,Apple Inc.,13:37:49
2019-12-29,356,Apple Health App,iPhone,Apple Inc.,13:37:49
2019-12-30,3159,Apple Health App,iPhone,Apple Inc.,13:37:49
2019-12-31,1226,Apple Health App,iPhone,Apple Inc.,13:37:49
2020-01-01,51,Apple Health App,iPhone,Apple Inc.,13:37:49
